,Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
3496,0,0.0,0,0.0,5,19.0,0.0,0.08,0.0,0.6,May,2,2,1,3,Returning_Visitor,False,False
9415,5,158.7,0,0.0,51,1364.266667,0.007692308,0.011987179,0.0,0.0,Nov,3,2,3,2,Returning_Visitor,True,False
9419,7,87.91666667,1,0.0,46,1621.025379,0.004081633,0.020544218,6.02352321,0.0,Dec,1,1,3,2,Returning_Visitor,False,False
3837,1,4.0,0,0.0,37,1296.942857,0.013888889,,0.0,0.8,May,2,2,4,2,Returning_Visitor,False,False
7305,2,132.4,0,0.0,11,296.3,0.0,,0.0,0.0,Sep,2,4,3,2,New_Visitor,False,False
8832,2,23.0,0,0.0,39,1828.966667,0.005128205,0.02008547,20.5924708,0.0,Nov,1,1,1,2,Returning_Visitor,True,True
4974,0,0.0,2,23.0,52,4167.488095,0.009615385,,0.0,0.0,May,2,2,3,1,Returning_Visitor,False,False
3377,1,5.0,1,292.0,35,1916.9,0.0,0.015555556,11.19189333,0.2,May,2,10,6,3,Returning_Visitor,False,True
10610,1,5.0,0,0.0,29,3441.439286,0.007142857,,0.0,0.0,Dec,3,2,8,10,Returning_Visitor,False,False
1174,0,0.0,0,0.0,4,149.0,0.0,0.05,0.0,0.0,Mar,2,2,1,2,Returning_Visitor,False,False
9878,0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,Dec,2,2,6,13,Returning_Visitor,False,False
2456,0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.6,May,1,1,7,3,New_Visitor,False,False
1722,6,45.83333333,2,284.0,54,1509.8,0.0,,7.272067797,0.0,Mar,2,2,7,2,New_Visitor,False,False
3225,0,0.0,0,0.0,6,25.0,0.133333333,0.122222222,0.0,0.0,May,3,2,3,4,Returning_Visitor,False,False
10055,5,191.8333333,1,17.0,10,209.3333333,0.0,0.018181818,0.0,0.0,Dec,1,1,8,2,Returning_Visitor,False,False
3417,0,0.0,0,0.0,23,363.5,0.0,0.013043478,0.0,0.8,May,2,2,2,1,Returning_Visitor,False,False
4214,0,0.0,0,0.0,7,701.0,0.0,0.057142857,0.0,0.8,May,2,5,1,4,Returning_Visitor,False,False
1744,0,0.0,0,0.0,59,3036.4,0.0,,0.0,0.0,Mar,2,2,6,13,Returning_Visitor,True,False
8306,4,159.0,2,27.75,33,821.6825397,0.000617284,0.019343434,0.0,0.0,Dec,2,2,1,2,Returning_Visitor,False,True
10302,4,367.0,5,2256.916667,74,8981.580128,0.002988954,,0.0,0.0,Dec,2,2,1,8,Returning_Visitor,False,False
12166,0,0.0,0,0.0,89,2924.432937,0.006741573,,0.0,0.0,Nov,2,2,1,10,Returning_Visitor,False,True
2501,3,117.5,0,0.0,14,285.4166667,0.0,0.00625,0.0,0.0,May,3,2,1,2,New_Visitor,True,False
4272,9,216.75,0,0.0,44,1527.166667,0.012765957,0.032765957,0.0,0.0,May,2,2,8,6,Returning_Visitor,True,False
3074,2,83.0,0,0.0,3,264.0,0.0,0.05,0.0,0.6,May,3,3,7,11,New_Visitor,False,False
4372,9,726.3666667,0,0.0,80,4322.779121,0.002272727,0.0163943,8.069027652,0.0,May,2,2,2,2,Returning_Visitor,False,True
12288,3,100.0,0,0.0,27,730.7916667,0.016,0.027555556,0.0,0.0,Nov,3,2,3,11,Returning_Visitor,False,False
7292,5,91.0,2,232.8,246,9227.371429,0.006425703,,0.0,0.0,Oct,4,1,4,3,Returning_Visitor,True,False
5670,1,15.2,0,0.0,6,199.6,0.0,0.014285714,0.0,0.0,Oct,1,8,2,6,New_Visitor,False,False
